DATAFLOW,LAST UPDATE,freq,sex,age,unit,isced11,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:EDAT_LFSE_03(1.0),14/09/23 23:00:00,A,T,Y15-64,PC,ED3-8,AT,2022,81.4,
ESTAT:EDAT_LFSE_03(1.0),14/09/23 23:00:00,A,T,Y15-64,PC,ED3-8,BE,2022,78.3,
ESTAT:EDAT_LFSE_03(1.0),14/09/23 23:00:00,A,T,Y15-64,PC,ED3-8,BG,2022,80.0,
ESTAT:EDAT_LFSE_03(1.0),14/09/23 23:00:00,A,T,Y15-64,PC,ED3-8,CH,2022,81.5,
ESTAT:EDAT_LFSE_03(1.0),14/09/23 23:00:00,A,T,Y15-64,PC,ED3-8,CY,2022,81.1,
ESTAT:EDAT_LFSE_03(1.0),14/09/23 23:00:00,A,T,Y15-64,PC,ED3-8,CZ,2022,87.7,
ESTAT:EDAT_LFSE_03(1.0),14/09/23 23:00:00,A,T,Y15-64,PC,ED3-8,DE,2022,77.0,
ESTAT:EDAT_LFSE_03(1.0),14/09/23 23:00:00,A,T,Y15-64,PC,ED3-8,DK,2022,74.2,
ESTAT:EDAT_LFSE_03(1.0),14/09/23 23:00:00,A,T,Y15-64,PC,ED3-8,EE,2022,83.1,
ESTAT:EDAT_LFSE_03(1.0),14/09/23 23:00:00,A,T,Y15-64,PC,ED3-8,EL,2022,77.3,
ESTAT:EDAT_LFSE_03(1.0),14/09/23 23:00:00,A,T,Y15-64,PC,ED3-8,ES,2022,62.3,
ESTAT:EDAT_LFSE_03(1.0),14/09/23 23:00:00,A,T,Y15-64,PC,ED3-8,FI,2022,81.9,
ESTAT:EDAT_LFSE_03(1.0),14/09/23 23:00:00,A,T,Y15-64,PC,ED3-8,FR,2022,78.7,
ESTAT:EDAT_LFSE_03(1.0),14/09/23 23:00:00,A,T,Y15-64,PC,ED3-8,HR,2022,83.9,
ESTAT:EDAT_LFSE_03(1.0),14/09/23 23:00:00,A,T,Y15-64,PC,ED3-8,HU,2022,81.3,
ESTAT:EDAT_LFSE_03(1.0),14/09/23 23:00:00,A,T,Y15-64,PC,ED3-8,IE,2022,82.5,
ESTAT:EDAT_LFSE_03(1.0),14/09/23 23:00:00,A,T,Y15-64,PC,ED3-8,IS,2022,74.7,
ESTAT:EDAT_LFSE_03(1.0),14/09/23 23:00:00,A,T,Y15-64,PC,ED3-8,IT,2022,61.2,
ESTAT:EDAT_LFSE_03(1.0),14/09/23 23:00:00,A,T,Y15-64,PC,ED3-8,LT,2022,88.7,
ESTAT:EDAT_LFSE_03(1.0),14/09/23 23:00:00,A,T,Y15-64,PC,ED3-8,LU,2022,75.8,
ESTAT:EDAT_LFSE_03(1.0),14/09/23 23:00:00,A,T,Y15-64,PC,ED3-8,LV,2022,85.1,
ESTAT:EDAT_LFSE_03(1.0),14/09/23 23:00:00,A,T,Y15-64,PC,ED3-8,MT,2022,66.9,
ESTAT:EDAT_LFSE_03(1.0),14/09/23 23:00:00,A,T,Y15-64,PC,ED3-8,NL,2022,77.0,
ESTAT:EDAT_LFSE_03(1.0),14/09/23 23:00:00,A,T,Y15-64,PC,ED3-8,NO,2022,75.0,
ESTAT:EDAT_LFSE_03(1.0),14/09/23 23:00:00,A,T,Y15-64,PC,ED3-8,PL,2022,87.1,
ESTAT:EDAT_LFSE_03(1.0),14/09/23 23:00:00,A,T,Y15-64,PC,ED3-8,PT,2022,60.4,
ESTAT:EDAT_LFSE_03(1.0),14/09/23 23:00:00,A,T,Y15-64,PC,ED3-8,RO,2022,79.3,
ESTAT:EDAT_LFSE_03(1.0),14/09/23 23:00:00,A,T,Y15-64,PC,ED3-8,RS,2022,79.7,
ESTAT:EDAT_LFSE_03(1.0),14/09/23 23:00:00,A,T,Y15-64,PC,ED3-8,SE,2022,80.5,
ESTAT:EDAT_LFSE_03(1.0),14/09/23 23:00:00,A,T,Y15-64,PC,ED3-8,SI,2022,86.2,
ESTAT:EDAT_LFSE_03(1.0),14/09/23 23:00:00,A,T,Y15-64,PC,ED3-8,SK,2022,87.2,
