DATAFLOW,LAST UPDATE,freq,unit,isced11,age,sex,reason,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:HLTH_SILC_14(1.0),27/11/23 23:00:00,A,PC,TOTAL,Y_GE16,T,TOOEFW,AT,2022,0.5,
ESTAT:HLTH_SILC_14(1.0),27/11/23 23:00:00,A,PC,TOTAL,Y_GE16,T,TOOEFW,BE,2022,1.0,
ESTAT:HLTH_SILC_14(1.0),27/11/23 23:00:00,A,PC,TOTAL,Y_GE16,T,TOOEFW,BG,2022,1.0,
ESTAT:HLTH_SILC_14(1.0),27/11/23 23:00:00,A,PC,TOTAL,Y_GE16,T,TOOEFW,CH,2022,0.8,
ESTAT:HLTH_SILC_14(1.0),27/11/23 23:00:00,A,PC,TOTAL,Y_GE16,T,TOOEFW,CY,2022,0.1,
ESTAT:HLTH_SILC_14(1.0),27/11/23 23:00:00,A,PC,TOTAL,Y_GE16,T,TOOEFW,CZ,2022,0.2,
ESTAT:HLTH_SILC_14(1.0),27/11/23 23:00:00,A,PC,TOTAL,Y_GE16,T,TOOEFW,DE,2022,0.3,
ESTAT:HLTH_SILC_14(1.0),27/11/23 23:00:00,A,PC,TOTAL,Y_GE16,T,TOOEFW,DK,2022,2.1,
ESTAT:HLTH_SILC_14(1.0),27/11/23 23:00:00,A,PC,TOTAL,Y_GE16,T,TOOEFW,EE,2022,9.1,
ESTAT:HLTH_SILC_14(1.0),27/11/23 23:00:00,A,PC,TOTAL,Y_GE16,T,TOOEFW,EL,2022,9.0,
ESTAT:HLTH_SILC_14(1.0),27/11/23 23:00:00,A,PC,TOTAL,Y_GE16,T,TOOEFW,ES,2022,1.2,
ESTAT:HLTH_SILC_14(1.0),27/11/23 23:00:00,A,PC,TOTAL,Y_GE16,T,TOOEFW,FI,2022,6.5,
ESTAT:HLTH_SILC_14(1.0),27/11/23 23:00:00,A,PC,TOTAL,Y_GE16,T,TOOEFW,FR,2022,3.2,b
ESTAT:HLTH_SILC_14(1.0),27/11/23 23:00:00,A,PC,TOTAL,Y_GE16,T,TOOEFW,HR,2022,1.3,
ESTAT:HLTH_SILC_14(1.0),27/11/23 23:00:00,A,PC,TOTAL,Y_GE16,T,TOOEFW,HU,2022,1.4,
ESTAT:HLTH_SILC_14(1.0),27/11/23 23:00:00,A,PC,TOTAL,Y_GE16,T,TOOEFW,IE,2022,2.7,
ESTAT:HLTH_SILC_14(1.0),27/11/23 23:00:00,A,PC,TOTAL,Y_GE16,T,TOOEFW,IT,2022,1.8,
ESTAT:HLTH_SILC_14(1.0),27/11/23 23:00:00,A,PC,TOTAL,Y_GE16,T,TOOEFW,LT,2022,2.9,
ESTAT:HLTH_SILC_14(1.0),27/11/23 23:00:00,A,PC,TOTAL,Y_GE16,T,TOOEFW,LU,2022,0.5,b
ESTAT:HLTH_SILC_14(1.0),27/11/23 23:00:00,A,PC,TOTAL,Y_GE16,T,TOOEFW,LV,2022,5.4,
ESTAT:HLTH_SILC_14(1.0),27/11/23 23:00:00,A,PC,TOTAL,Y_GE16,T,TOOEFW,ME,2022,2.6,
ESTAT:HLTH_SILC_14(1.0),27/11/23 23:00:00,A,PC,TOTAL,Y_GE16,T,TOOEFW,MT,2022,0.3,
ESTAT:HLTH_SILC_14(1.0),27/11/23 23:00:00,A,PC,TOTAL,Y_GE16,T,TOOEFW,NL,2022,0.2,
ESTAT:HLTH_SILC_14(1.0),27/11/23 23:00:00,A,PC,TOTAL,Y_GE16,T,TOOEFW,NO,2022,1.2,
ESTAT:HLTH_SILC_14(1.0),27/11/23 23:00:00,A,PC,TOTAL,Y_GE16,T,TOOEFW,PL,2022,2.3,
ESTAT:HLTH_SILC_14(1.0),27/11/23 23:00:00,A,PC,TOTAL,Y_GE16,T,TOOEFW,PT,2022,2.9,
ESTAT:HLTH_SILC_14(1.0),27/11/23 23:00:00,A,PC,TOTAL,Y_GE16,T,TOOEFW,RO,2022,4.9,
ESTAT:HLTH_SILC_14(1.0),27/11/23 23:00:00,A,PC,TOTAL,Y_GE16,T,TOOEFW,SE,2022,1.7,
ESTAT:HLTH_SILC_14(1.0),27/11/23 23:00:00,A,PC,TOTAL,Y_GE16,T,TOOEFW,SI,2022,3.7,
ESTAT:HLTH_SILC_14(1.0),27/11/23 23:00:00,A,PC,TOTAL,Y_GE16,T,TOOEFW,SK,2022,2.8,
