DATAFLOW,LAST UPDATE,freq,unit,s_adj,indic,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:EI_LMHR_M(1.0),01/12/23 23:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,2022-12,4.8,
ESTAT:EI_LMHR_M(1.0),01/12/23 23:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,BE,2022-12,5.7,
ESTAT:EI_LMHR_M(1.0),01/12/23 23:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,BG,2022-12,4.1,
ESTAT:EI_LMHR_M(1.0),01/12/23 23:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,CH,2022-12,4.2,
ESTAT:EI_LMHR_M(1.0),01/12/23 23:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,CY,2022-12,7.6,
ESTAT:EI_LMHR_M(1.0),01/12/23 23:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,CZ,2022-12,2.2,
ESTAT:EI_LMHR_M(1.0),01/12/23 23:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,DE,2022-12,2.9,
ESTAT:EI_LMHR_M(1.0),01/12/23 23:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,DK,2022-12,4.6,
ESTAT:EI_LMHR_M(1.0),01/12/23 23:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,EA20,2022-12,6.7,
ESTAT:EI_LMHR_M(1.0),01/12/23 23:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,EE,2022-12,5.3,
ESTAT:EI_LMHR_M(1.0),01/12/23 23:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,EL,2022-12,12.5,
ESTAT:EI_LMHR_M(1.0),01/12/23 23:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,ES,2022-12,12.9,
ESTAT:EI_LMHR_M(1.0),01/12/23 23:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,EU27_2020,2022-12,6.1,
ESTAT:EI_LMHR_M(1.0),01/12/23 23:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,FI,2022-12,6.7,
ESTAT:EI_LMHR_M(1.0),01/12/23 23:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,FR,2022-12,7.3,
ESTAT:EI_LMHR_M(1.0),01/12/23 23:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,HR,2022-12,7.0,
ESTAT:EI_LMHR_M(1.0),01/12/23 23:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,HU,2022-12,3.8,
ESTAT:EI_LMHR_M(1.0),01/12/23 23:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,IE,2022-12,4.2,
ESTAT:EI_LMHR_M(1.0),01/12/23 23:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,IS,2022-12,2.9,
ESTAT:EI_LMHR_M(1.0),01/12/23 23:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,IT,2022-12,7.9,
ESTAT:EI_LMHR_M(1.0),01/12/23 23:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,JP,2022-12,2.3,
ESTAT:EI_LMHR_M(1.0),01/12/23 23:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,LT,2022-12,6.8,
ESTAT:EI_LMHR_M(1.0),01/12/23 23:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,LU,2022-12,5.2,
ESTAT:EI_LMHR_M(1.0),01/12/23 23:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,LV,2022-12,6.6,
ESTAT:EI_LMHR_M(1.0),01/12/23 23:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,MT,2022-12,2.9,
ESTAT:EI_LMHR_M(1.0),01/12/23 23:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,NL,2022-12,3.3,
ESTAT:EI_LMHR_M(1.0),01/12/23 23:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,NO,2022-12,3.2,
ESTAT:EI_LMHR_M(1.0),01/12/23 23:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,PL,2022-12,2.9,
ESTAT:EI_LMHR_M(1.0),01/12/23 23:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,PT,2022-12,7.0,
ESTAT:EI_LMHR_M(1.0),01/12/23 23:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,RO,2022-12,5.9,
ESTAT:EI_LMHR_M(1.0),01/12/23 23:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,SE,2022-12,6.9,
ESTAT:EI_LMHR_M(1.0),01/12/23 23:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,SI,2022-12,3.4,
ESTAT:EI_LMHR_M(1.0),01/12/23 23:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,SK,2022-12,6.1,
ESTAT:EI_LMHR_M(1.0),01/12/23 23:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,TR,2022-12,10.4,
ESTAT:EI_LMHR_M(1.0),01/12/23 23:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,US,2022-12,3.3,
